"Actions","Effects","True k","Learning k","Effect-wise precision","Effect-wise recall","Parent pattern precision","Parent pattern recall","Log posterior","Log likelihood","File"
10,1000,1,1,1,1,0.6,1,-76.246189861594,17821.8426272382,"rdata/model-10-1-1-1.RData"
10,1000,1,10,1,1,0.25,1,-324.392880502054,160568.402767268,"rdata/model-10-1-1-10.RData"
10,1000,1,2,1,1,0.375,1,-140.015730473109,35643.6852544764,"rdata/model-10-1-1-2.RData"
10,1000,1,3,1,1,0.333333333333333,1,-216.261920334703,47569.6804332882,"rdata/model-10-1-1-3.RData"
10,1000,1,4,1,1,0.25,1,-253.69186808494,70881.0786825734,"rdata/model-10-1-1-4.RData"
10,1000,1,5,1,1,0.25,1,-304.984759446376,88207.3929153995,"rdata/model-10-1-1-5.RData"
10,1000,1,6,1,1,0.272727272727273,1,-282.804049668458,106931.055763429,"rdata/model-10-1-1-6.RData"
10,1000,1,7,1,1,0.25,1,-307.757348168616,106801.335951662,"rdata/model-10-1-1-7.RData"
10,1000,1,8,1,1,0.25,1,-346.573590279973,142168.449191526,"rdata/model-10-1-1-8.RData"
10,1000,1,3,0.640676013059343,1,0.8,1,-102.585782722872,16209.4327031804,"rdata/model-10-1-11-3.RData"
10,1000,1,4,0.725532840365376,1,0.8,1,-140.015730473109,29039.7133054274,"rdata/model-10-1-11-4.RData"
10,1000,1,6,0.65746945210879,1,0.615384615384615,1,-170.514206417747,31905.1900156736,"rdata/model-10-1-11-6.RData"
10,1000,1,8,0.725532840365376,1,0.615384615384615,1,-231.511158307022,43881.919839067,"rdata/model-10-1-11-8.RData"
10,1000,1,9,0.725532840365376,1,0.533333333333333,1,-171.900500778866,42253.1211434647,"rdata/model-10-1-11-9.RData"
10,1000,1,2,1,1,0.777777777777778,1,-72.0873067782343,19131.6155360635,"rdata/model-10-1-12-2.RData"
10,1000,1,3,1,1,0.7,1,-98.4268996395122,28697.4233040953,"rdata/model-10-1-12-3.RData"
10,1000,1,4,0.891361256544503,1,0.636363636363636,1,-130.31166994527,36050.3392451704,"rdata/model-10-1-12-4.RData"
10,1000,1,5,1,1,0.583333333333333,1,-156.651262806548,46742.8789292355,"rdata/model-10-1-12-5.RData"
10,1000,1,6,0.891361256544503,1,0.538461538461538,1,-160.810145889907,54359.2258958205,"rdata/model-10-1-12-6.RData"
10,1000,1,7,1,1,0.583333333333333,1,-195.467504917905,57608.113164409,"rdata/model-10-1-12-7.RData"
10,1000,1,4,1,1,0.333333333333333,1,-266.168517335019,64816.5805193305,"rdata/model-10-1-13-4.RData"
10,1000,1,5,1,1,0.428571428571429,1,-277.258872223978,80488.5152667923,"rdata/model-10-1-13-5.RData"
10,1000,1,7,1,1,0.272727272727273,1,-321.620291779815,113429.015908828,"rdata/model-10-1-13-7.RData"
10,1000,1,5,1,1,0.75,1,-91.4954278339128,28020.2795664007,"rdata/model-10-1-14-5.RData"
10,1000,1,6,0.813535424744448,1,0.692307692307692,1,-117.835020695191,29138.1593825358,"rdata/model-10-1-14-6.RData"
10,1000,1,7,0.667630893838588,1,0.692307692307692,1,-113.676137611831,33709.317083838,"rdata/model-10-1-14-7.RData"
10,1000,1,1,1,1,0.857142857142857,1,-54.0654800836757,11785.0591896497,"rdata/model-10-1-16-1.RData"
10,1000,1,2,0.829586511441188,1,0.666666666666667,1,-98.4268996395122,16354.7514807016,"rdata/model-10-1-16-2.RData"
10,1000,1,3,0.806911362748926,1,0.6,1,-142.788319195349,27760.3436650966,"rdata/model-10-1-16-3.RData"
10,1000,1,6,0.769073315965761,1,0.5,1,-224.579686501422,50398.5770472161,"rdata/model-10-1-16-6.RData"
10,1000,1,9,0.729696327683616,1,0.428571428571429,1,-285.576638390697,68169.9605525926,"rdata/model-10-1-16-9.RData"
10,1000,1,10,1,1,0.0909090909090909,1,-461.636022252924,218935.087695073,"rdata/model-10-1-17-10.RData"
10,1000,1,5,1,1,0.111111111111111,1,-349.346179002212,109467.543847537,"rdata/model-10-1-17-5.RData"
10,1000,1,1,1,1,0.857142857142857,1,-58.2243631670354,12963.7435451683,"rdata/model-10-1-18-1.RData"
10,1000,1,10,1,1,0.5,1,-262.009634251659,107508.091238215,"rdata/model-10-1-18-10.RData"
10,1000,1,2,1,1,0.666666666666667,1,-103.972077083992,23963.3457807725,"rdata/model-10-1-18-2.RData"
10,1000,1,3,1,1,0.6,1,-162.196440251027,36927.0893259408,"rdata/model-10-1-18-3.RData"
10,1000,1,5,0.92178996170127,1,0.666666666666667,1,-210.716742890223,58238.0950459948,"rdata/model-10-1-18-5.RData"
10,1000,1,7,0.92178996170127,1,0.5,1,-256.46445680718,78771.37194647,"rdata/model-10-1-18-7.RData"
10,1000,1,8,0.92178996170127,1,0.5,1,-212.103037251343,89272.7604432434,"rdata/model-10-1-18-8.RData"
10,1000,1,10,0.698003992015968,1,0.533333333333333,1,-302.212170724136,52323.7127882362,"rdata/model-10-1-19-10.RData"
10,1000,1,5,0.666476081570421,1,0.533333333333333,1,-171.900500778866,28131.3250782453,"rdata/model-10-1-19-5.RData"
10,1000,1,7,0.675748792270531,1,0.533333333333333,1,-170.514206417747,31075.2433130934,"rdata/model-10-1-19-7.RData"
10,1000,1,8,0.615777425603099,1,0.5,1,-232.897452668142,38671.1739011274,"rdata/model-10-1-19-8.RData"
10,1000,1,9,0.636976320582878,1,0.5,1,-223.193392140302,48377.6188785137,"rdata/model-10-1-19-9.RData"
