"Actions","Effects","True k","Learning k","Effect matrix precision","Effect matrix recall","Ancestry set precision","Ancestry set recall","Pairwise ancestry precision","Pairwise ancestry recall","Log posterior","Log likelihood","File"
10,1000,1,1,1,1,0.6,1,1,0.783132530120482,-76.246189861594,17821.8426272382,"rdata/model-10-1-1-1.RData"
10,1000,1,2,1,1,0.375,1,1,1,-140.015730473109,35643.6852544764,"rdata/model-10-1-1-2.RData"
10,1000,1,3,1,1,0.333333333333333,1,1,1,-216.261920334703,47569.6804332882,"rdata/model-10-1-1-3.RData"
10,1000,1,4,1,1,0.25,1,1,1,-253.69186808494,70881.0786825734,"rdata/model-10-1-1-4.RData"
10,1000,1,5,1,1,0.25,1,1,1,-304.984759446376,88207.3929153995,"rdata/model-10-1-1-5.RData"
10,1000,1,6,1,1,0.272727272727273,1,1,1,-282.804049668458,106931.055763429,"rdata/model-10-1-1-6.RData"
10,1000,1,7,1,1,0.25,1,1,1,-307.757348168616,106801.335951662,"rdata/model-10-1-1-7.RData"
10,1000,1,8,1,1,0.25,1,1,1,-346.573590279973,142168.449191526,"rdata/model-10-1-1-8.RData"
10,1000,1,1,1,1,0.857142857142857,1,1,0.852459016393443,-58.2243631670354,13161.560788772,"rdata/model-10-1-2-1.RData"
10,1000,1,2,0.984147114774889,1,0.666666666666667,1,0.958333333333333,1,-115.062431972951,25733.4098734726,"rdata/model-10-1-2-2.RData"
10,1000,1,3,1,1,0.545454545454545,1,1,1,-158.037557167668,38194.5002237579,"rdata/model-10-1-2-3.RData"
10,1000,1,4,0.812140240711669,1,0.5,1,0.771428571428571,1,-180.218266945586,47506.5100536125,"rdata/model-10-1-2-4.RData"
10,1000,1,5,1,1,0.5,1,0.985915492957746,1,-224.579686501422,64521.1024425573,"rdata/model-10-1-2-5.RData"
10,1000,1,6,0.812140240711669,1,0.5,1,0.782178217821782,1,-241.215218834861,70147.9837082842,"rdata/model-10-1-2-6.RData"
10,1000,1,7,0.971011470281543,1,0.461538461538462,1,0.869565217391304,1,-181.604561306706,75270.9997727874,"rdata/model-10-1-2-7.RData"
10,1000,1,8,0.812140240711669,1,0.461538461538462,1,0.770642201834862,1,-230.124863945902,94252.7736316202,"rdata/model-10-1-2-8.RData"
10,1000,1,1,0.892122690833043,1,0.714285714285714,1,0.885245901639344,0.805970149253731,-62.3832462503951,12868.0505494197,"rdata/model-10-1-3-1.RData"
10,1000,1,2,1,1,0.555555555555556,1,1,1,-121.99390377855,25898.1954912732,"rdata/model-10-1-3-2.RData"
10,1000,1,3,0.920186949487687,1,0.5,1,0.955357142857143,1,-164.969028973267,35595.9584729982,"rdata/model-10-1-3-3.RData"
10,1000,1,4,0.762891207153502,1,0.5,1,0.887005649717514,1,-225.965980862542,39708.3592376634,"rdata/model-10-1-3-4.RData"
10,1000,1,5,0.819171067370779,1,0.5,1,0.9,0.895522388059702,-234.283747029262,54396.2448655341,"rdata/model-10-1-3-5.RData"
10,1000,1,6,0.775958769137487,1,0.454545454545455,1,0.859459459459459,1,-303.598465085256,60544.9495180379,"rdata/model-10-1-3-6.RData"
10,1000,1,7,0.745232202649585,1,0.454545454545455,1,0.793774319066148,1,-316.075114335335,67864.6637952338,"rdata/model-10-1-3-7.RData"
10,1000,1,8,0.738139870223504,1,0.384615384615385,1,0.863799283154122,1,-353.505062085572,88198.7847378766,"rdata/model-10-1-3-8.RData"
10,1000,1,1,1,1,1,1,1,1,-69.3147180559945,13415.7016736215,"rdata/model-10-1-4-1.RData"
10,1000,1,2,1,1,0.75,1,1,1,-115.062431972951,25131.3239314897,"rdata/model-10-1-4-2.RData"
10,1000,1,3,1,1,0.75,1,1,1,-171.900500778866,36846.9461893579,"rdata/model-10-1-4-3.RData"
10,1000,1,4,0.918950212273254,1,0.75,1,0.891891891891892,1,-231.511158307022,50543.2833986648,"rdata/model-10-1-4-4.RData"
10,1000,1,5,1,1,0.75,1,0.870967741935484,0.866666666666667,-264.782222973899,55208.8482088177,"rdata/model-10-1-4-5.RData"
10,1000,1,6,0.918950212273254,1,0.666666666666667,1,0.867469879518072,0.716666666666667,-242.601513195981,70562.1757098632,"rdata/model-10-1-4-6.RData"
10,1000,1,7,1,1,0.6,1,1,1,-365.981711335651,73873.6325605366,"rdata/model-10-1-4-7.RData"
10,1000,1,8,1,1,0.5,1,0.906666666666667,1,-277.258872223978,96259.5843602857,"rdata/model-10-1-4-8.RData"
10,1000,1,1,1,1,0.5,1,1,0.802197802197802,-87.3365447505531,19718.0929063146,"rdata/model-10-1-5-1.RData"
10,1000,1,2,1,1,0.333333333333333,1,1,1,-174.673089501106,39436.1858126293,"rdata/model-10-1-5-2.RData"
10,1000,1,3,1,1,0.285714285714286,1,1,1,-237.056335751501,59154.2787189439,"rdata/model-10-1-5-3.RData"
10,1000,1,4,1,1,0.25,1,1,1,-311.916231251975,78872.3716252585,"rdata/model-10-1-5-4.RData"
10,1000,1,5,1,1,0.2,1,1,1,-311.916231251975,98590.4645315732,"rdata/model-10-1-5-5.RData"
10,1000,1,6,1,1,0.285714285714286,1,0.895348837209302,0.802197802197802,-386.776126752449,117842.217011965,"rdata/model-10-1-5-6.RData"
10,1000,1,7,1,1,0.181818181818182,1,1,1,-349.346179002212,138026.650344202,"rdata/model-10-1-5-7.RData"
10,1000,1,8,1,1,0.181818181818182,1,1,1,-374.29947750237,157744.743250517,"rdata/model-10-1-5-8.RData"
10,1000,1,7,0.869387755102041,1,0.533333333333333,1,0.9,1,-209.330448529103,41330.4710815743,"rdata/model-10-1-8-7.RData"
10,1000,1,8,0.695794201714986,1,0.5,1,0.770700636942675,1,-205.171565445744,37527.6611814722,"rdata/model-10-1-8-8.RData"
10,1000,1,5,0.928666077738516,1,0.615384615384615,1,0.875,1,-201.012682362384,39295.8296535246,"rdata/model-10-1-9-5.RData"
10,1000,2,1,0.924704418170504,1,0.555555555555556,0.454545454545455,0.842105263157895,0.476635514018692,-36.0436533891172,7724.84777461576,"rdata/model-10-2-1-1.RData"
10,1000,2,2,0.924704418170504,1,0.538461538461538,0.636363636363636,0.9,0.551401869158878,-45.7477139169564,10539.9977091594,"rdata/model-10-2-1-2.RData"
10,1000,2,3,0.924704418170504,1,0.538461538461538,0.636363636363636,0.8625,0.850467289719626,-92.8817221950327,17927.6327508643,"rdata/model-10-2-1-3.RData"
10,1000,2,4,0.924704418170504,1,0.538461538461538,0.636363636363636,0.875,0.869158878504673,-102.585782722872,26887.0208643538,"rdata/model-10-2-1-4.RData"
10,1000,2,5,0.924704418170504,1,0.538461538461538,0.636363636363636,0.811111111111111,0.766355140186916,-112.289843250711,26231.1541219544,"rdata/model-10-2-1-5.RData"
10,1000,2,6,0.924704418170504,1,0.538461538461538,0.636363636363636,0.841463414634146,0.869158878504673,-116.448726334071,28637.5811853339,"rdata/model-10-2-1-6.RData"
10,1000,2,7,0.924704418170504,1,0.538461538461538,0.636363636363636,0.897727272727273,0.85981308411215,-117.835020695191,24902.753861721,"rdata/model-10-2-1-7.RData"
10,1000,2,8,0.924704418170504,1,0.538461538461538,0.636363636363636,0.895348837209302,0.850467289719626,-116.448726334071,30180.9777957353,"rdata/model-10-2-1-8.RData"
10,1000,2,1,0.868407310704961,1,0.555555555555556,0.555555555555556,0.847826086956522,0.522388059701492,-38.8162421113569,8094.8881525283,"rdata/model-10-2-10-1.RData"
10,1000,2,2,0.868407310704961,1,0.384615384615385,0.555555555555556,0.807692307692308,0.604477611940298,-73.4736011393542,14982.1944187381,"rdata/model-10-2-10-2.RData"
10,1000,2,1,0.98121546961326,1,0.5,0.444444444444444,0.956521739130435,0.529411764705882,-47.1340082780763,9833.35160827565,"rdata/model-10-2-2-1.RData"
10,1000,2,2,0.98121546961326,1,0.545454545454545,0.666666666666667,0.966101694915254,0.605042016806723,-72.0873067782343,19065.3331229199,"rdata/model-10-2-2-2.RData"
10,1000,2,3,0.98121546961326,1,0.5,0.666666666666667,0.975,0.80672268907563,-109.517254528471,22994.5370247222,"rdata/model-10-2-2-3.RData"
10,1000,2,4,0.98121546961326,1,0.5,0.666666666666667,0.975,0.80672268907563,-134.470553028629,37529.2961522085,"rdata/model-10-2-2-4.RData"
10,1000,2,5,0.98121546961326,1,0.5,0.666666666666667,1,0.865546218487395,-121.99390377855,46435.5423205016,"rdata/model-10-2-2-5.RData"
10,1000,2,6,0.98121546961326,1,0.5,0.666666666666667,0.975,0.798319327731092,-146.947202278708,55993.2591814971,"rdata/model-10-2-2-6.RData"
10,1000,2,7,0.98121546961326,1,0.5,0.666666666666667,0.977777777777778,0.915966386554622,-146.947202278708,55758.703073165,"rdata/model-10-2-2-7.RData"
10,1000,2,8,0.98121546961326,1,0.5,0.666666666666667,1,0.747899159663866,-144.174613556469,65972.8363658683,"rdata/model-10-2-2-8.RData"
10,1000,2,1,0.993627450980392,1,0.142857142857143,0.333333333333333,0.978260869565217,0.453488372093023,-49.9065970003161,11534.4363544279,"rdata/model-10-2-3-1.RData"
10,1000,2,2,0.993627450980392,1,0.181818181818182,0.666666666666667,0.985714285714286,0.651162790697674,-74.8598955004741,23068.8727088558,"rdata/model-10-2-3-2.RData"
10,1000,2,3,0.993627450980392,1,0.181818181818182,0.666666666666667,0.9875,0.703488372093023,-112.289843250711,34328.2704096956,"rdata/model-10-2-3-3.RData"
10,1000,2,4,0.993627450980392,1,0.181818181818182,0.666666666666667,0.985714285714286,0.651162790697674,-124.76649250079,46137.7454177115,"rdata/model-10-2-3-4.RData"
10,1000,2,5,0.993627450980392,1,0.25,1,0.99,0.901162790697674,-160.810145889907,44400.8546194673,"rdata/model-10-2-3-5.RData"
10,1000,2,6,0.993627450980392,1,0.25,1,0.99,0.901162790697674,-185.763444390065,66311.8001294936,"rdata/model-10-2-3-6.RData"
