"Actions","Effects","True k","Learning k","Effect-wise precision","Effect-wise recall","Parent pattern precision","Parent pattern recall"
10,1000,1,1,1,1,0.6,1
10,1000,1,10,1,1,0.25,1
10,1000,1,2,1,1,0.428571428571429,1
10,1000,1,3,1,1,0.333333333333333,1
10,1000,1,4,1,1,0.272727272727273,1
10,1000,1,5,1,1,0.25,1
10,1000,1,7,1,1,0.272727272727273,1
10,1000,1,8,1,1,0.25,1
10,1000,1,3,1,1,0.8,1
10,1000,1,4,1,1,0.8,1
10,1000,1,6,1,1,0.615384615384615,1
10,1000,1,2,1,1,0.777777777777778,1
10,1000,1,3,1,1,0.7,1
10,1000,1,5,1,1,0.583333333333333,1
10,1000,1,7,1,1,0.583333333333333,1
10,1000,1,4,1,1,0.333333333333333,1
10,1000,1,5,1,1,0.428571428571429,1
10,1000,1,5,1,1,0.75,1
10,1000,1,6,1,1,0.692307692307692,1
10,1000,1,1,1,1,0.857142857142857,1
10,1000,1,2,1,1,0.666666666666667,1
10,1000,1,3,1,1,0.6,1
10,1000,1,6,1,1,0.5,1
10,1000,1,9,1,1,0.428571428571429,1
10,1000,1,10,1,1,0.0909090909090909,1
10,1000,1,1,1,1,0.857142857142857,1
10,1000,1,10,1,1,0.5,1
10,1000,1,2,1,1,0.666666666666667,1
10,1000,1,3,1,1,0.6,1
10,1000,1,5,1,1,0.666666666666667,1
10,1000,1,7,1,1,0.5,1
10,1000,1,10,1,1,0.533333333333333,1
10,1000,1,5,1,1,0.533333333333333,1
10,1000,1,9,1,1,0.5,1
10,1000,1,7,1,1,0.428571428571429,1
10,1000,1,1,1,1,1,1
10,1000,1,10,1,1,0.642857142857143,1
10,1000,1,2,1,1,1,1
10,1000,1,3,1,1,0.9,1
10,1000,1,5,1,1,0.75,1
10,1000,1,6,1,1,0.6,1
10,1000,1,7,1,1,0.642857142857143,1
10,1000,1,9,1,1,0.6,1
10,1000,1,1,1,1,0.2,1
10,1000,1,2,1,1,0.142857142857143,1
10,1000,1,3,1,1,0.125,1
10,1000,1,1,1,1,0.714285714285714,1
10,1000,1,10,1,1,0.363636363636364,1
10,1000,1,1,1,1,0.4,1
10,1000,1,1,1,1,0.75,1
